"","Y","X1","X2","X3","X4","X5","X6","X7","X8"
"1",7.01,3.31,2.5,1.98,3.02,1.45,42,44.5,1
"2",6.53,3.12,2.23,1.8,2.81,1.25,46.5,47,1
"3",7.57,3.62,2.74,2.24,3.04,1.6,45.5,43,1
"4",6.55,3.37,2.35,1.93,2.7,1.33,51.5,49.5,1
"5",6.96,3.44,2.6,2.08,3.06,1.41,46,44,1
"6",7.52,3.59,2.59,2.24,3.15,1.33,47.5,49,1
"7",6.99,3.34,2.64,2.08,2.82,1.32,42.5,42.5,1
"8",7.14,3.61,2.28,2.07,3.06,1.46,49,47.5,1
"9",7.01,3.35,2.28,2.02,2.9,1.47,45.5,47.5,1
"10",7.06,3.63,2.44,2.19,2.98,1.42,48,50,1
"11",7.52,3.56,2.77,2.08,3.04,1.55,43.5,42,1
"12",7.39,3.65,2.72,2.2,3,1.49,45,43,1
"13",7.49,3.46,2.62,2.05,3.2,1.32,41,42.5,1
"14",7.19,3.52,2.41,2.23,3.14,1.48,46,48.5,1
"15",6.91,3.43,2.58,2.16,2.97,1.43,48,49.5,1
"16",7.62,3.68,2.96,2.27,3,1.45,44,42,0
"17",7.72,3.84,2.75,2.34,3,1.43,48.5,50,0
"18",7.37,3.67,2.72,2.03,2.94,1.46,44,42,0
"19",8.69,4.16,2.94,2.57,3.57,1.59,46.5,50,0
"20",7.32,3.65,2.58,2.1,3.03,1.46,46.5,44,0
"21",6.68,3.25,2.3,2,2.76,1.31,46,48,0
"22",8.28,3.91,2.98,2.43,3.29,1.54,42.5,42,0
"23",7.21,3.66,2.61,2.13,3.14,1.5,48,44.5,0
"24",7.24,3.8,2.54,2.21,2.93,1.52,51,51.5,0
"25",7.11,3.66,2.48,2.11,2.9,1.32,47.5,45,0
"26",7.39,3.58,2.6,2.04,2.85,1.4,42,40,0
"27",7.7,3.76,2.85,2.15,3.08,1.51,46,45.5,0
"28",7.7,3.51,2.78,2.27,3.25,1.54,43,47,0
"29",7.49,3.95,2.59,2.26,3.1,1.54,49,50,0
"30",8.41,3.88,3.13,2.33,3.19,1.65,43,44.5,0
